PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20190806,TSLA,TESLA INC,230.75000,0.010643,15
93436,20190807,TSLA,TESLA INC,233.42000,0.011571,15
93436,20190808,TSLA,TESLA INC,238.30000,0.020907,15
93436,20190809,TSLA,TESLA INC,235.00999,-0.013806,15
93436,20190812,TSLA,TESLA INC,229.00999,-0.025531,15
93436,20190813,TSLA,TESLA INC,235.00000,0.026156,15
93436,20190814,TSLA,TESLA INC,219.62000,-0.065447,15
93436,20190815,TSLA,TESLA INC,215.64000,-0.018122,15
93436,20190816,TSLA,TESLA INC,219.94000,0.019941,15
93436,20190819,TSLA,TESLA INC,226.83000,0.031327,15
93436,20190820,TSLA,TESLA INC,225.86000,-0.004276,15
93436,20190821,TSLA,TESLA INC,220.83000,-0.022270,15
93436,20190822,TSLA,TESLA INC,222.14999,0.005977,15
93436,20190823,TSLA,TESLA INC,211.39999,-0.048391,15
93436,20190826,TSLA,TESLA INC,215.00000,0.017029,15
93436,20190827,TSLA,TESLA INC,214.08000,-0.004279,15
93436,20190828,TSLA,TESLA INC,215.59000,0.007053,15
93436,20190829,TSLA,TESLA INC,221.71001,0.028387,15
93436,20190830,TSLA,TESLA INC,225.61000,0.017591,15
93436,20190903,TSLA,TESLA INC,225.00999,-0.002659,15
93436,20190904,TSLA,TESLA INC,220.67999,-0.019244,15
93436,20190905,TSLA,TESLA INC,229.58000,0.040330,15
93436,20190906,TSLA,TESLA INC,227.45000,-0.009278,15
93436,20190909,TSLA,TESLA INC,231.78999,0.019081,15
93436,20190910,TSLA,TESLA INC,235.53999,0.016178,15
93436,20190911,TSLA,TESLA INC,247.10001,0.049079,15
93436,20190912,TSLA,TESLA INC,245.87000,-0.004978,15
93436,20190913,TSLA,TESLA INC,245.20000,-0.002725,15
93436,20190916,TSLA,TESLA INC,242.81000,-0.009747,15
93436,20190917,TSLA,TESLA INC,244.78999,0.008155,15
93436,20190918,TSLA,TESLA INC,243.49001,-0.005311,15
93436,20190919,TSLA,TESLA INC,246.60001,0.012773,15
93436,20190920,TSLA,TESLA INC,240.62000,-0.024250,15
93436,20190923,TSLA,TESLA INC,241.23000,0.002535,15
93436,20190924,TSLA,TESLA INC,223.21001,-0.074700,15
93436,20190925,TSLA,TESLA INC,228.70000,0.024596,15
93436,20190926,TSLA,TESLA INC,242.56000,0.060603,15
93436,20190927,TSLA,TESLA INC,242.13000,-0.001773,15
93436,20190930,TSLA,TESLA INC,240.87000,-0.005204,15
93436,20191001,TSLA,TESLA INC,244.69000,0.015859,15
93436,20191002,TSLA,TESLA INC,243.13000,-0.006375,15
93436,20191003,TSLA,TESLA INC,233.03000,-0.041542,15
93436,20191004,TSLA,TESLA INC,231.42999,-0.006866,15
93436,20191007,TSLA,TESLA INC,237.72000,0.027179,15
93436,20191008,TSLA,TESLA INC,240.05000,0.009801,15
93436,20191009,TSLA,TESLA INC,244.53000,0.018663,15
93436,20191010,TSLA,TESLA INC,244.74001,0.000859,15
93436,20191011,TSLA,TESLA INC,247.89000,0.012871,15
93436,20191014,TSLA,TESLA INC,256.95999,0.036589,15
93436,20191015,TSLA,TESLA INC,257.89001,0.003619,15
93436,20191016,TSLA,TESLA INC,259.75000,0.007212,15
93436,20191017,TSLA,TESLA INC,261.97000,0.008547,15
93436,20191018,TSLA,TESLA INC,256.95001,-0.019162,15
93436,20191021,TSLA,TESLA INC,253.50000,-0.013427,15
93436,20191022,TSLA,TESLA INC,255.58000,0.008205,15
93436,20191023,TSLA,TESLA INC,254.67999,-0.003521,15
93436,20191024,TSLA,TESLA INC,299.67999,0.176692,15
93436,20191025,TSLA,TESLA INC,328.13000,0.094935,15
93436,20191028,TSLA,TESLA INC,327.70999,-0.001280,15
93436,20191029,TSLA,TESLA INC,316.22000,-0.035061,15
93436,20191030,TSLA,TESLA INC,315.01001,-0.003826,15
